"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"53","OTU_53",0,0,0,0,0,0,0,39,0,0,0,0,0,1,1,2,0,1,0,0,4783,4981,4835,8245,5202,6788,38,4,18,0,0,0,0,0,1,0,0,4,1,7,5,4,4,28,6,21,15,28
"54","OTU_54",0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,1,8,0,0,1872,2419,2699,8416,1047,1591,69,163,367,5,2,6,0,0,4,0,41,58,16,32,11,24,6,19,11,34,83,105
"55","OTU_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,8851,121,7068,12508,5769,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","OTU_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,202,324,2717,4197,8296,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0
"57","OTU_57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1938,832,0,0,0,0,4117,12,3928,8,8065,59,0,0,0,0,0,0
"58","OTU_58",0,0,0,0,0,0,0,269,15,0,0,0,6,2,0,0,0,7,0,0,7,3,5,5,199,4,1,1,5,0,3,4,0,0,107,0,835,1400,684,1464,2183,1766,951,3155,406,677,977,4729
"59","OTU_59",0,0,0,1,0,0,0,18,0,0,0,0,4,0,3,3,1,8,0,0,1689,2413,1573,3743,1643,3001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,36,125,47,115,70,198
"60","OTU_60",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,0,1,0,0,2108,4102,1208,3891,2088,2305,9,30,3,29,5,57
"61","OTU_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1327,9408,2953,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","OTU_62",0,0,0,0,14968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,4,7,0,1,1
"63","OTU_63",0,0,4308,13156,0,0,0,252,0,0,0,0,54,12,15,35,40,98,0,0,0,0,0,144,1,73,30,0,0,4,17,1,52,21,68,0,5640,5685,4454,10810,2814,2788,80,257,113,207,140,907
"64","OTU_64",115348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
