"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"77","OTU_77",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,10235,1720,0,0,0,0,0,0,0,0,4,0,4,0,0
"78","OTU_78",0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,676,64,0,2,0,0,386,0,0,6092,4698,24,2769,3434,1
"79","OTU_79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,352,31,2637,7063,2435,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","OTU_80",0,0,0,0,0,0,0,592,0,0,0,0,68,14,24,0,216,7,0,0,135,125,58,0,163,26,3102,3892,2072,0,0,0,112,257,135,0,0,0,0,0,0,0,0,0,0,3,0,0
"81","OTU_81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,159,78,0,5,0,0,3970,831,2815,511,2338,684,0,0,0,0,0,0
"82","OTU_82",0,0,0,11,0,0,0,3372,0,0,0,0,2867,2449,1681,2359,1710,2632,0,0,530,499,325,501,335,363,0,4,1,4,1,6,0,0,0,0,3037,4274,3777,3126,3168,4177,3722,4776,1125,3925,3474,3896
"83","OTU_83",0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,3610,2678,2781,4121,2586,3072,6,2,0,6,0,1,0,0,0,0,280,381,276,287,271,290,29,32,6,13,11,18
"84","OTU_84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,51,33,0,0,16396,13887,11150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","OTU_85",27817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","OTU_86",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2899,3688,9,7015,299,3754
"87","OTU_87",0,0,0,0,0,0,0,53,0,0,0,0,3,1,1,1,2,0,0,0,5,0,0,0,0,0,28,16,15,2889,2394,1188,545,1710,540,0,177,35,81,47,138,73,62,43,16,20,59,16
"88","OTU_88",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,2013,1722,1506,1481,2014,50,31,23,54,38,55
"89","OTU_89",0,0,0,0,0,0,0,3,0,0,0,0,4409,2162,2837,2193,2626,3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","OTU_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,9558,5480,18,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","OTU_91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,20,9,562,930,7354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","OTU_92",0,0,0,0,0,0,0,28,0,0,0,0,1003,372,678,529,573,528,0,0,2028,1569,1360,1452,2008,1595,94,119,76,4,0,0,2,8,1,0,218,211,183,197,228,140,8,4,1,0,0,3
"93","OTU_93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,26,0,0,0,0,0,0,0,3233,1694,459,2458,3417,2672
"94","OTU_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,9568,0,0
"95","OTU_95",0,0,0,0,0,0,0,0,0,0,0,0,7132,370,1863,1382,2589,101,0,0,0,0,0,0,0,0,0,1,2,16,10,2,53,132,100,0,0,0,0,0,0,0,0,0,12,32,0,103
"96","OTU_96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,11,0,0,0,0,1862,1698,1311,1397,1363,1502,0,10,0,0,0,1
"97","OTU_97",0,0,0,0,0,0,0,0,0,0,0,0,1769,650,1656,884,1618,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","OTU_98",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8670,3228,64,4,4,3,0,0,6,1,3,0,3,3,3,0,6,7,1
"99","OTU_99",0,0,0,0,0,0,0,2650,0,0,0,0,2,3,0,0,6,2,0,0,1057,697,564,710,952,664,235,157,116,0,0,1,8,6,0,0,2,5,0,2,0,2,185,188,46,219,104,202
"100","OTU_100",0,0,2321,6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"101","OTU_101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,7,8,2,2,2972,2276,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","OTU_102",0,0,0,0,0,0,0,1042,0,0,0,0,448,285,243,305,272,318,0,0,0,2,2,0,0,1,43,24,24,193,120,79,887,2376,850,0,64,25,27,28,36,20,127,113,58,111,204,91
"103","OTU_103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,3,0,0,0,0,0,863,7533,11,0,0,0,0,5,0,6,0,1,4,0,0,0,0,0,0
"104","OTU_104",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5053,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","OTU_105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187,465,603,430,3182,4030,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","OTU_106",0,0,0,0,0,0,0,3,0,0,0,0,144,76,62,66,116,155,0,0,1250,960,1099,918,1388,1151,764,44,52,6,0,1,0,4,0,0,32,32,26,12,22,13,0,0,0,0,0,0
"107","OTU_107",0,0,54,46,0,0,0,371,0,0,0,0,2157,1101,1231,1001,1068,1390,0,0,813,389,685,560,655,562,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,449,553,164,662,509,663
"108","OTU_108",0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,49,34,22,2077,1492,816,524,1870,708,0,13,13,29,19,32,12,3,28,5,19,13,6
"109","OTU_109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,19,0,0,0,0,0,0,0,338,3580,370,2936,0,469
"110","OTU_110",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,314,7085,369,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","OTU_111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,112,28,2375,1661,9192,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0
"112","OTU_112",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,384,1024,112,1791,304,210,942,396,0,2271,1554,4407,1939,1569,1115,3,6,14,5,0,0
