"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"51","Zotu51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,5,5,5,6,2,2,3,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0
"52","Zotu52",0,0,0,0,0,0,0,1,0,0,0,0,9,10,2,8,5,37,0,0,0,0,0,0,0,0,0,0,0,23,8,104,3,8,8,0,110,178,116,210,90,76,7,16,13,10,4,14
"53","Zotu53",0,0,81,0,0,0,0,0,0,0,0,0,20,0,15,7,55,2,0,0,0,0,0,0,25,0,2,0,0,7,18,26,1,1,0,0,0,2,5497,2,12358,6992,0,0,1,1,0,0
"54","Zotu54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,616,0,3075,5594,17343,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Zotu55",16,0,8834,15279,0,0,0,40,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,2,0,4,24,2,5,14,115,9,3,1,0,0,3,11,2,18,11,9,16,8,0,5,3,6
"56","Zotu56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,186,191,15,34,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"57","Zotu57",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,15,33,24,0,0,0
"58","Zotu58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17019,1533,1378,222,790,50,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"59","Zotu59",0,0,94,118,0,0,0,608,0,0,0,0,608,122,180,375,448,1236,0,0,790,1118,682,1455,813,911,5,0,3,0,0,0,0,0,0,0,1005,1419,567,1885,1184,1424,335,1258,310,612,512,1130
"60","Zotu60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,252,105,4147,10156,4673,10,57,46,0,0,0,0,0,0,1750,0,0,0,0,0,0
"61","Zotu61",54,0,486,1403,0,0,0,2622,0,0,0,0,5776,2316,1422,4203,3573,7848,0,0,55,134,94,130,40,146,38,7,19,9,13,2,16,9,23,0,1428,1570,987,3241,1355,1635,1712,6402,1838,4111,3087,4105
"62","Zotu62",0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,8,1,5,0,0,1972,1859,3573,2336,3376,4247,646,936,526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Zotu63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,5,236,78,0,428,5,22492,0,0,0,0,0
"64","Zotu64",1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,332,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,4,16849,0,23,0,215,1941,0,0,0,2,0,0,0,1
"65","Zotu65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7243,6840,1611,2831,1537,334,113,151,362,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Zotu66",0,0,0,0,0,0,0,0,0,0,0,0,347,847,286,74,671,334,0,0,0,0,0,0,13,0,1,0,0,0,2,0,31,13,48,0,0,0,95,1,0,0,7,16,56,122,15,18
"67","Zotu67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12383,1301,3141,0,0,0,18,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3
"68","Zotu68",0,19437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"69","Zotu69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,146,327,172,2830,5527,17696,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Zotu70",0,0,0,0,0,0,0,0,0,0,0,0,3526,1016,1362,3793,2175,4295,0,0,0,0,0,0,0,0,11,14,9,5,24,2,30,56,58,0,0,37,60,116,31,21,6,0,14,0,17,0
"71","Zotu71",0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,2,0,1,0,0,3164,3464,3098,5366,3969,5208,2,1,3,0,0,0,0,0,0,0,0,2,1,0,0,1,1,9,3,11,3,8
