"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"76","Zotu76",0,0,0,3,0,0,0,359,0,0,0,0,856,569,576,566,498,665,0,0,610,617,395,641,442,301,2,1,4,8,2,4,0,0,0,0,1811,2545,2239,1742,1953,2501,444,583,109,550,539,528
"77","Zotu77",0,0,0,0,0,0,0,88,0,0,0,0,33,7,14,9,17,9,0,0,45,13,12,9,0,12,1854,867,768,2543,1819,835,1177,3601,1500,0,136,28,72,25,84,37,103,61,24,42,98,31
"78","Zotu78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,1,0,1,2,0,0,0,0,0,0
"79","Zotu79",0,0,0,3,0,0,0,342,0,0,0,0,68,24,40,20,56,53,0,0,3,0,1,17,0,0,2,0,0,2,2,1,3,3,3,0,2056,2415,3813,3674,2246,1362,84,97,24,58,46,69
"80","Zotu80",0,0,0,0,0,0,0,0,0,0,0,0,14965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Zotu81",0,0,0,0,0,0,0,0,0,0,0,0,2476,1788,2288,1869,2187,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Zotu82",0,0,0,0,0,0,0,3069,0,0,0,0,1251,1,9,1,7,2,0,0,4,5814,2257,21,0,0,0,5,147,5,2,21,83,120,17,0,0,5,3,4,5075,3230,22,3667,1392,32,1335,26
"83","Zotu83",0,0,0,0,0,0,0,252,0,0,0,0,1,0,0,0,0,0,0,0,3670,2028,2787,2659,2755,1705,30,18,28,0,0,0,0,0,0,0,25,20,24,33,23,24,36,45,12,51,24,49
"84","Zotu84",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14790,14,384,0,0,0,0,0,0,0,13,12,1,53,28,9
"85","Zotu85",0,0,0,21,0,0,0,44,0,0,0,0,2444,2030,1595,1916,1564,1846,0,0,819,953,741,520,1080,1310,22,2,9,5,0,0,0,1,3,0,0,0,0,1,1,0,0,1,0,7,7,2
