"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"162",0,0,0,0,0,0,0,0,7,5,0,0,1541,1455,1448,331,290,106,236,757,287,0,0,0,0,3,3,0,0,0,3,0,0
"163",291,259,159,240,194,272,44,62,36,58,57,17,0,0,0,18,13,0,5,0,0,1442,1894,1655,1401,1373,2136,3585,4165,1234,3495,3756,3052
"164",0,0,0,0,0,0,0,0,0,0,0,0,8,110,1299,1517,1731,1190,0,0,0,7,0,105,112,502,85,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,3,6,4,0,0,898,1111,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0,0,0,504,6953,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",19,15,56,55,107,106,455,291,433,547,441,409,31,72,411,1668,535,144,0,12,0,156,192,304,270,87,90,85,155,32,203,178,154
"168",0,0,0,0,0,0,585,544,702,853,773,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,12,11,9
"169",330,215,161,210,185,257,0,3,0,0,6,0,0,0,0,0,0,3,0,0,0,179,173,198,133,162,216,413,502,122,472,470,346
"170",34,18,26,14,14,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,0,499,714,171,745,951,832
"172",47,32,24,26,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,834,744,810,841,665,77,97,24,94,75,103
"174",0,0,0,0,0,0,1028,513,741,1136,907,1084,3,66,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",456,0,0,728,0,878,1137,3719,4774,35,14,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,263,159,101,230,46,6,6,9,5,0,3,14,20,0,5,13,6
"177",0,0,0,0,0,0,789,833,364,872,477,629,0,0,0,0,0,0,0,0,0,289,387,332,303,309,423,0,3,0,7,6,3
"178",0,0,0,0,0,0,0,0,0,0,0,0,82,44,21,3868,2437,1496,0,4,0,44,20,31,21,44,82,0,0,0,0,0,3
"179",77,88,34,81,64,111,0,0,0,0,0,0,3,10,8,12,7,4,264,822,363,3,0,0,0,0,0,177,265,87,182,254,281
"180",0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,4057,8,34,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
"181",11,20,12,19,13,26,381,341,392,322,488,331,831,272,240,6,0,4,33,65,20,3,0,0,0,0,0,27,22,5,30,6,30
"183",0,0,0,0,0,0,0,0,0,0,0,0,1901,1176,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0,0,0,0,0,0,74,467,431,1078,1259,390,74,258,49,0,0,0,0,0,0,0,0,0,0,0,0
"185",0,0,0,0,0,0,696,1320,214,1079,579,794,0,0,0,0,0,0,0,0,0,0,8,4,0,4,4,0,0,0,0,0,0
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,5753,3026,0,0,0,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,1032,1935,571,1848,805,1553,0,0,0,0,0,0,0,0,0,37,49,56,32,21,42,0,0,0,0,0,0
"188",0,0,0,0,0,0,170,78,462,91,689,453,121,1636,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,147,165,167,242,80,119,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,348,872,122,685,500,726
"190",0,0,0,479,0,769,0,0,0,0,0,0,0,0,0,3,0,0,459,0,5513,0,0,494,591,0,0,0,5,0,0,0,0
"193",6,0,4,0,0,0,0,0,0,0,0,0,3,0,0,980,1848,445,79,217,36,6,7,9,6,20,7,12,13,0,0,0,0
