"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1179",0,0,0,0,0,0,26,100,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,0,0
"Zotu118",0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,30,29,42,8,369,925,535,1725,631,1612
"Zotu1180",0,0,0,0,0,0,3,6,0,0,3,0,98,52,94,0,0,0,46,38,34,0,0,0,0,0,0,0,3,0,4,0,0
"Zotu1182",0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,112,145,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1183",0,0,0,0,0,0,0,0,0,0,0,0,99,36,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu119",0,0,0,0,0,0,0,0,0,0,0,0,9,7,15,7,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7699
"Zotu1191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,6,16,9,26,12,37
"Zotu1192",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1197",0,0,0,0,0,0,14,14,16,40,59,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,127,14,60324,4386,17603,3062,7783,537,29409,2987,0,74,15248,9
"Zotu120",24,6,0,16,3,29,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,5,5,0,0,0,0,934,2989,288,643,221,485
"Zotu1200",0,0,0,0,0,0,7,0,4,0,6,0,90,25,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1202",0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,27,35,6,3,0,0,7,0,0,0,4,27,0,0,0,0,0,0
"Zotu1204",22,16,7,19,13,63,0,0,0,0,0,0,11,0,4,8,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1205",0,0,0,0,0,0,0,0,0,0,0,0,117,28,41,10,14,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3
"Zotu1206",0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,34,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1207",0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,14,17,24,24
"Zotu1208",0,0,0,0,0,0,0,0,0,0,0,0,27,6,12,19,89,17,6,6,13,4,4,3,10,3,3,0,0,0,0,0,0
"Zotu121",696,184,260,448,603,1560,19,17,19,59,0,19,0,0,0,0,0,0,0,0,0,8,8,0,14,6,3,237,881,290,843,439,1182
"Zotu1210",0,0,0,0,0,0,0,0,0,0,0,0,95,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1212",0,0,0,0,0,0,0,0,0,0,0,0,125,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,171,22,14,20,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,8,3,159,159,150,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1215",0,0,0,0,0,0,0,0,0,0,0,0,13,57,79,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1217",0,0,0,0,0,0,0,0,0,0,0,0,40,104,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu122",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3797,4764,761,47,58,5,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1223",0,0,0,0,0,0,0,0,0,0,0,0,86,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1224",8,0,0,0,4,4,0,16,117,5,0,0,0,3,22,0,0,0,0,0,0,12,24,13,47,25,15,0,0,0,0,0,0
"Zotu1226",0,0,0,0,0,0,0,0,0,0,0,10,104,54,56,4,13,0,32,17,31,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,193,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu123",2060,566,269,1241,598,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,69,20,51,70,85
"Zotu1230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,17,18,15,54
"Zotu1231",0,0,0,0,0,0,0,0,0,0,0,8,108,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1234",0,0,0,0,0,0,0,0,0,0,8,0,45,30,62,12,8,0,17,12,15,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1236",0,0,0,0,0,0,0,4,0,0,9,8,25,8,4,0,0,0,10,10,15,0,0,0,0,0,0,8,17,11,10,0,7
"Zotu1239",0,0,0,0,0,0,0,0,0,4,0,0,46,15,31,11,6,4,11,12,3,41,24,7,18,20,23,0,0,0,0,0,0
"Zotu124",0,8,0,7540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1241",0,0,0,0,0,0,0,0,0,0,0,0,45,3,17,26,6,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1242",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,43,140,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1243",0,0,0,0,0,0,0,0,0,0,0,0,142,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1247",0,0,0,0,3,0,4,20,10,8,5,10,25,9,30,3,0,0,0,0,0,0,0,0,0,0,0,4,16,13,11,3,4
"Zotu1248",0,0,0,0,0,0,0,0,3,0,0,0,43,42,89,15,100,18,3,4,7,6,0,0,4,0,9,0,0,0,0,0,0
"Zotu1249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,57,0,65
"Zotu125",16,0,7,15,47,25,885,1360,668,1816,1086,2480,174,109,421,29,572,18,51,34,47,230,417,75,234,144,177,341,1467,308,753,278,523
"Zotu1251",0,0,0,0,0,0,0,0,0,0,4,0,0,16,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1257",9,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,5,16,3,5,0,3,0,0,0,8
"Zotu1258",0,0,0,0,0,0,0,0,0,0,0,0,14,80,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1259",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1260",0,0,48,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1262",0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,10,0,11,9,8,10,16,22
