"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"OTU_119",0,0,0,0,0,0,0,0,0,0,0,0,17,1697,3060,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1194",0,0,0,0,0,0,0,0,0,0,0,0,29,5,24,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1196",0,0,0,0,0,0,0,11,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,3,6
"OTU_1197",6,0,4,0,8,5,4,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1199",0,0,0,0,0,0,0,0,0,0,0,0,22,3,27,13,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,254,0,15635,7457,22097,0,0,0,0,0,0,463,14710,2293,3884,19397,4520
"OTU_120",0,0,0,0,0,0,0,0,0,0,6,0,9,624,0,392,5368,135,4,0,18,0,0,0,0,0,0,0,8,4,0,0,10
"OTU_1200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1201",0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1202",0,0,0,0,0,0,0,0,0,0,0,0,37,6,28,19,104,17,6,6,16,5,4,3,10,3,3,0,0,0,0,0,0
"OTU_1203",0,0,0,0,0,0,0,0,0,0,6,7,17,8,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1204",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,54,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1205",0,0,0,0,0,0,0,0,0,0,0,0,29,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1206",0,0,0,0,0,0,0,0,0,0,0,0,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_121",2018,391,279,544,492,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"OTU_1210",0,0,0,0,0,0,0,0,0,0,3,0,29,16,19,0,0,0,9,6,5,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1212",0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
