"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7439,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,4691,2751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",119,163,109,138,104,247,659,871,734,1443,515,948,0,0,0,0,0,0,0,0,0,339,397,146,221,135,213,12,20,7,38,23,23
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,8302,182,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,1346,1246,1044,970,1344,12,24,9,18,17,6
"141",2768,2293,1619,2219,1562,2503,344,227,142,251,141,179,0,0,0,3,0,0,0,3,0,1758,2195,2052,1686,1736,2307,1230,1423,344,1322,1138,1185
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,4,4,0,0,0,0,0,0
"143",1560,1094,1035,1025,1068,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5456,6607,3441,0,0,0,0,0,3,33,50,10,16,50,15
"145",119,82,69,90,71,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,30,25,29,19,1297,1595,196,974,1078,1288
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6746
"147",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,353,1273,692,0,0,0,937,24,980,11,2358,138,0,0,4,0,0,0
"149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,8524,225,0,0,0,0,0,0,3,7,0,0,0,0
"152",17,9,8,11,4,19,6,5,14,8,14,13,0,0,0,0,0,0,0,0,0,466,698,524,516,534,706,410,572,166,520,384,456
"153",1542,505,569,495,591,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,414,157,821,404,593
"155",1073,347,538,364,486,535,930,501,830,566,816,410,12,0,0,0,0,0,3,9,0,7,4,17,0,23,10,403,395,109,362,441,426
"156",0,0,0,0,0,3,122,72,0,0,111,149,88,190,399,1190,1674,1825,0,0,0,7,23,19,28,45,41,0,0,0,0,0,0
"159",0,0,0,0,0,0,270,854,300,1230,240,483,0,0,0,0,0,0,0,0,0,9,11,7,9,3,0,237,565,81,412,455,511
