"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"124",0,8,0,7540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",16,0,7,15,47,25,884,1360,668,1815,1086,2476,172,109,420,27,563,18,50,34,47,227,413,75,232,143,176,340,1457,308,747,278,519
"128",15,8,6,8,10,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,9,31,18,21,6,21,0,12,4,14
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1836,39,437,1686,3615,0,0,0,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,0,0,1254,1129,1362,2212,1040,1277,20,0,10,0,0,0,0,0,0,0,0,0,6,6,4,0,17,0,10,8,14
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,51,0,0,0,0,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,4,20,0,5,2145,1547,312,818,4995,268,132,54,26,10,26,4,19,14,12,0,0,0,0,0,10
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,377,224,1063,886,4832,0,0,0,0,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1725,4044,809,13,88,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2916,432,400,665,930,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,8,100,11,46
"139",0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,18,3,0,0,0,1153,1452,551,1653,906,899,0,13,0,3,0,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,7
"144",44,11,11,32,34,106,0,0,0,0,0,0,0,0,0,0,0,0,3923,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",0,0,0,0,0,0,664,1717,821,1786,156,38,333,30,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",3,0,0,6,4,7,538,569,691,1029,428,531,0,4,0,0,0,0,0,0,0,0,4,3,0,3,4,156,487,184,339,247,584
"147",0,0,0,0,0,0,7,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",227,82,74,180,202,325,146,98,131,152,160,89,1949,398,740,41,63,28,286,154,348,1079,1386,524,1153,722,874,307,493,379,480,472,732
"150",0,0,0,0,7,0,0,762,0,6,2049,1698,0,0,0,0,0,0,0,0,0,6,323,3,4,38,3,0,0,0,135,0,0
"152",0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1982,978,2940,0,0,0,0,0,0,0,8,0,6,6,6
"153",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,6,6,0,3,0,0,0,0
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,0,81,0,2206,1056,2152,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,1335,3179,99,0,684,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"156",1223,7,484,641,770,203,0,0,308,0,0,0,947,193,210,15,22,5,51,47,34,175,109,179,233,620,47,733,1000,269,185,602,828
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,3363,506,145,93,253,0,0,0,0,0,0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,0,0,0,750,796,1761,361,1188,121,119,157,37,0,0,0,0,0,0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,27,469,23,15,194,716,381,718,722,1721
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",1145,226,390,685,788,1984,0,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,19,51,22,63
"162",103,14,35,47,61,194,8,27,22,66,16,38,8,11,3,0,0,0,0,0,0,396,592,216,673,217,311,148,514,162,504,227,631
"163",265,13,44,8,35,118,26,274,460,1475,212,348,537,660,903,0,0,0,5,0,0,4,0,0,0,0,0,444,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0,0,0,17,1697,3060,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,337,5060,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",2018,391,279,544,492,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,24,91,22,25,0,10,0,3,0,4
"168",0,0,0,0,0,0,0,0,0,0,0,0,628,173,120,108,254,28,1042,731,2507,0,0,0,0,0,0,0,0,0,0,0,0
"169",2098,352,258,335,556,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,60,62,399,366,262,180,824,175,550,312,1092
"170",0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,57,21,24,0,0,0,0,0,4
"171",0,0,0,0,0,0,0,0,0,0,0,0,2338,1617,0,11,712,27,49,247,153,0,0,0,0,0,0,0,0,0,0,0,0
"172",3,11,0,9,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,4,9,10
"173",121,16,28,16,44,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"174",13,0,0,0,4,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,21,6,19,7,30
"175",240,76,92,206,139,495,0,3,0,0,0,5,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,170,1066,145,520,413,917
"176",44,3900,17,20,26,44,0,0,0,0,0,0,0,0,0,0,0,0,1020,14,466,3,3,0,0,0,0,5,9,4,5,0,14
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,326,12,3269,2590,2774,0,0,0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598,2245,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,49,2906,0,0,0,0,0,0,151,12,8,97,140,8
